recorded;RADON_SHORT_TERM_AVG Bq/m3;PM2_5 μg/m3;CO2 ppm;HUMIDITY %;TEMP °C;VOC ppb;PRESSURE hPa;PM1 μg/m3
2024-10-12T00:00;;3.00;;;;;;2.00
2024-10-12T00:02:31;261.00;;;;;;;
2024-10-12T00:02:33;;;907.00;41.02;19.61;;;
2024-10-12T00:02:35;;2.00;;;;69.00;898.30;1.00
2024-10-12T00:04:58;;;905.00;41.14;19.48;;;
2024-10-12T00:05;;1.00;;;;;;1.00
2024-10-12T00:07:30;;;950.00;41.31;19.48;;;
2024-10-12T00:07:32;;4.00;;;;71.00;898.42;1.00
2024-10-12T00:09:58;;;966.00;41.32;19.35;;;
2024-10-12T00:10;;3.00;;;;;;3.00
2024-10-12T00:12:31;;;994.00;41.42;19.42;;;
2024-10-12T00:12:33;;2.00;;;;71.00;898.46;2.00
2024-10-12T00:14:59;;;987.00;41.50;19.35;;;
2024-10-12T00:15:01;;1.00;;;;;;1.00
2024-10-12T00:17:32;;;983.00;41.49;19.35;;;
2024-10-12T00:17:34;;1.00;;;;84.00;898.56;1.00
2024-10-12T00:19:59;;;953.00;41.62;19.36;;;
2024-10-12T00:20:01;;1.00;;;;;;1.00
2024-10-12T00:22:32;261.00;;;;;;;
2024-10-12T00:22:34;;;940.00;41.75;19.20;;;
2024-10-12T00:22:36;;0.00;;;;91.00;898.58;0.00
2024-10-12T00:24:59;;;967.00;41.73;19.38;;;
2024-10-12T00:25:01;;2.00;;;;;;1.00
2024-10-12T00:27:31;;;944.00;41.87;19.29;;;
2024-10-12T00:27:33;;5.00;;;;88.00;898.56;1.00
2024-10-12T00:29:59;;;958.00;41.93;19.35;;;
2024-10-12T00:30:01;;2.00;;;;;;1.00
2024-10-12T00:32:31;;;1003.00;41.94;19.13;;;
2024-10-12T00:32:33;;1.00;;;;88.00;898.62;1.00
2024-10-12T00:34:59;;;1016.00;42.10;19.35;;;
2024-10-12T00:35:01;;2.00;;;;;;1.00
2024-10-12T00:37:32;;;982.00;42.15;19.22;;;
2024-10-12T00:37:34;;3.00;;;;80.00;898.72;3.00
2024-10-12T00:39:58;;;993.00;42.12;19.35;;;
2024-10-12T00:40;;2.00;;;;;;1.00
2024-10-12T00:42:31;261.00;;;;;;;
2024-10-12T00:42:33;;;1015.00;42.33;19.21;;;
2024-10-12T00:42:35;;0.00;;;;89.00;898.76;0.00
2024-10-12T00:44:58;;;971.00;42.38;19.12;;;
2024-10-12T00:45;;4.00;;;;;;1.00
2024-10-12T00:47:30;;;994.00;42.34;19.14;;;
2024-10-12T00:47:32;;1.00;;;;88.00;898.80;1.00
2024-10-12T00:49:58;;;963.00;42.48;19.35;;;
2024-10-12T00:50;;2.00;;;;;;1.00
2024-10-12T00:52:30;;;1000.00;42.53;19.35;;;
2024-10-12T00:52:32;;1.00;;;;99.00;898.86;1.00
2024-10-12T00:54:58;;;1010.00;42.48;19.13;;;
2024-10-12T00:55;;4.00;;;;;;1.00
2024-10-12T00:57:31;;;1018.00;42.63;19.22;;;
2024-10-12T00:57:33;;6.00;;;;99.00;898.90;2.00
2024-10-12T00:59:57;;;1017.00;42.56;19.16;;;
2024-10-12T00:59:59;;4.00;;;;;;3.00
2024-10-12T01:02:32;256.00;;;;;;;
2024-10-12T01:02:34;;;1004.00;42.68;19.22;;;
